Export
## Arrows
ARROW;Arrow
UPPER LEFT QUADRANT;TLQuad
UPPER RIGHT QUADRANT;TRQuad
## Positions
ABOVE;Abv
AGAINST;Agst
ATTACHED;Att
BELOW;Blw
BETWEEN;Btw
CENTRALIZATION;Cntr
CENTRE;Cntr
CENTRED;Cntr
CROSSED;Cross
CROSSING;Cross
ENCLOSING;Encl
HORIZONTAL;H
HORIZONTALLY;H
INSIDE;Ins
INTERSYLLABIC;IntSyl
JUSTIFIED;Just
LEADING;Lead
LOW;Low
LOWER CENTRE;BC
MIDDLE;Mid
MIDDLE RIGHT;MR
OVER;Ovr
OVERLAY;Ovl
OVERSTRUCK;Ovs
PRECEDED BY;After
SMALL HIGH;SmHigh
SMALL LOW;SmLow
STRAIGHT;Strgt
STRAIGHT STRETCH;Strst
STRETCHED;St
SUBJOINED;Subj
SUBLINEAR;Sublin
SUPRALINEAR;Suplin
TOGETHER;Tg
TRAILING;Trail
UNDER;Und
VERTICAL;V
VERTICAL ABOVE;Vabv
VERTICALLY;V
## Punctuations
APOSTROPHE;Quote
COLON;Colon
COMMA;Comma
ELLIPSIS;Elipsis
EXCLAMATION;Exclam
FULL STOP;Dot
SEMICOLON;Semicolon
UNDERSCORE;Underscore
## Quotations
9 QUOTATION;Quote9
QUOTATION;Quote
QUOTE;Quote
## Rotations
ANTICLOCKWISE;Acw
CLOCKWISE;Cw
ROTATED;Rot
ROTATED FORTY FIVE DEGREES;45
ROTATED NINETY DEGREES;90
ROTATED ONE HUNDRED EIGHTY DEGREES;180
ROTATED ONE HUNDRED THIRTY FIVE DEGREES;135
ROTATED THREE HUNDRED FIFTEEN DEGREES;315
ROTATED TWO HUNDRED SEVENTY DEGREES;270
ROTATED TWO HUNDRED TWENTY FIVE DEGREES;225
ROTATION;Rot
ROTATIONS;Rot
## Separators
DATE SEPARATOR;Dtsep
DECIMAL SEPARATOR;Dcsep
SEPARATOR;Sep
THOUSANDS SEPARATOR;Thsep
## Separators
ANGULAR;Ang
CHEVRON;Chevr
CIRCLE;Circ
CURLY;Curly
CURVED;Curv
DIAMOND;Diam
OPEN RECTANGLE;Orect
RECTANGLE;Rect
RECTANGULAR;Rect
ROUND;Rnd
ROUNDED;Rnd
SQUARE;Square
TRIANGLE;Trngl
VERTICAL LINE;VLine
WAVE;Wve
WAVY;Wvy
WIGGLY;Wig
## SignWriting
ALTERNATING;Alt
BEND;Bend
BLOWING;Blow
CEILING;Ceil
CHEEK;Cheek
CIRCLED;Circ
CIRCLING;Circ
COMBINATION;Comb
CUPPED;Cup
DIRECTION;Dir
EXCITEMENT;Excit
EYELASHES;Eyelsh
FIVE FINGERS;5fing
FLOORPLANE;Floor
FLUTTERING;Flut
FOUR FINGERS;4fing
FRONTWALL;Front
HIP;Hip
HITTING;Hit
INDEX;Idx
KNUCKLE;Knuck
KNUCKLES;Knuckl
LOCATION;Loc
MOUTH;Mouth
MOVEMENT;Move
MOVEMENT-FLOORPLANE;MoveFloor
MOVEMENT-WALLPLANE;MoveWall
EYEGAZE-FLOORPLANE;EyegazeFloor
EYEGAZE-WALLPLANE;EyegazeWall
OPEN MOUTH;OpenMouth
POSITION;Pos
POSITIONS;Pos
SEQUENTIAL;Seq
SIMULTANEOUS;Simult
SHOULDER;Shldr
SPINE;Spine
SQUEEZE;Squez
SQUEEZED;Squez
STICKING;Stk
SUCKED;Suck
SUCKING;Suck
TEETH;Teeth
THREE FINGERS;Fngrs3
TILTING;Tilt
TONGUE;Tongue
TORSO;Torso
TOUCHING;Touch
TRAVEL;Trav
TRAVEL-FLOORPLANE;TravFloor
TRAVEL-WALLPLANE;TravWall
TWISTING;Twist
TWO FINGERS;2fing
WALLPLANE;Wall
WIDENING;Wide
WIGGLES;Wigg
WRINKKLED;Wrink
WRINKKLES;Wrink
## Size
LARGE;Lrg
LARGE TYPE PIECE;Ltp
SMALL;Sm
## Sounds
CANTILLATION;Cant
EMPHATIC;Emph
EPENTHETIC;Epent
FRICATIVE;Fric
GLOTTAL;glot
GLOTTAL STOP;glotstop
LARYNGEAL;Larng
NASALIZATION;Nasal
PALATALIZATION;Palat
PHARYNGEAL;Phrng
PNEUMATA;Pneu
PROLONGED;Prolng
SEMI-VOICED;Svoiced
SOUND MARK;SndMark
SPIRANT;Spir
STRESS;Strs
VOCALIC;Voc
VOICED;Voiced
## Spaces
EM QUAD;Emquad
EM SPACE;Emsp
EN QUAD;Enquad
EN SPACE;Ensp
FIGURE SPACE;Figsp
FOUR PER EM SPACE;Fpmsp
HAIR SPACE;Hairsp
PUNCTUATION SPACE;Puncsp
SIX PER EM SPACE;Spmsp
SPACE;Sp
THIN SPACE;Thinsp
THREE PER EM SPACE;Tpmsp
## Special symbols
ABBREVIATION;Abbr
AFOREMENTIONED;Aforement
AGGRAVATED;Aggr
ALTERNATE;Alt
ALTERNATIVE;Alt
ARCHAIC;Arch
ASTROLOGICAL;Astl
BOUNDARY;Bound
CANCELLATION;Canc
CAPITAL;Cap
CARRIER;Carr
CHARACTER;Char
CIRCULAR;Circ
CLOSING DOUBLE-LINED HEAD MARK;Cdlhm
CLOSING HEAD MARK;Chm
COMBINING;Zw
CONTOUR;Cont
COUNCIL;Cnc
CRYPTOGRAMMIC;Crypt
DECIMAL;Dec
DELIMITER;Dlm
DIGITS;Dig
DISPUTED;Disp
DOUBLE SHAD;Dshad
DOUBLE SHORT VERTICAL STROKES;DSVStrk
EM;Em
EN;En
EVEN POWERS OF FOUR;EvPow4
EXTENDED;Ext
EXTENSION;Ext
EXTRA;Xtra
FIGURE;Fig
FILLER;Fill
FINAL;Fin
FIXED-FORM;Fix
FOOTNOTE;Ftn
FRANKS CASKET;FrCsk
FUNCTION APPLICATION;FApp
GEMINATION;Gem
HEAD OF;Ho
HEXIFORM;Hexf
HIGH;High
INDEPENDENT;Indp
INHERENT;Inhnt
INITIAL;Ini
INITIAL DOUBLE-LINED HEAD MARK;Idlhm
INITIAL HEAD MARK;Ihm
INVISIBLE;Nv
ISOLATED;Isol
ISOLATED FORM;Iso
LENGTHENER;Length
LETTER;Lt
LETTER MARK;Letter
LIGATURE;Ligat
LONG TSHEG;Ltsheg
MEDIAL;Med
MIDLINE;Midl
MODIFIED;Mod
MODIFIER;Mod
MONOGRAPH;Mgraph
ODD POWERS OF FOUR;OdPow4
OLD;Old
ORNAMENT;Orn
PREFACE COLON;Pcolon
SCHROEDER;Sch
SECTION;Sect
SHORT HORIZONTAL STROKE;SHStrk
SIGN;Sign
SMALL CAPITAL;smc
SUBJOINER;Sj
SURROGATE;Sur
SYLLABLE;Syl
SYMBOL;Sym
TALL;Tall
TONE BAR;Tone
UNBLENDED;Unbl
VARIATION SELECTOR;VarSel
VOIDED GREEK CROSS;VGC
WORD;Word
WORDSPACE;Wordsp
ZERO WIDTH;Zw
ZEROWIDTH;Zw
## Super/Subscript
FEMININE ORDINAL INDICATOR;OrdF
MASCULINE ORDINAL INDICATOR;OrdM
SUBSCRIPT;Sub
SUPERSCRIPT;Sup
ALEF WITH LAM WITH YEH;AlLamYe
EMPTY CENTRE HIGH STOP;EmptStopAbw
EMPTY CENTRE LOW STOP;EmptStopBlw
FILLED CENTRE;Abv
RADI ALLAHOU ANHU;RadiAlAn
RAHMATULLAH ALAYHE;RahmAl
ROUNDED HIGH STOP;RndFilStop
## Symbols
AFRICAN D;Dafr
AMPERSAND;Amp
ASTERISCUS;Ast
ASTERISK;Ast
BEAVER;Beav
BROKEN BAR;Brbar
BULLET;Bullet
CARET;Caret
CLOCK FACE;Clk
COMMERCIAL AT;At
COPYRIGHT;Cprght
CORNERS;Corn
DEGREE;Deg
DEGREES;Deg
DENOMINATOR;Den
EMPHASIS;Emph
ETERNITY;Etern
FIVE POINTED STAR;5Pstar
HASH;hash
HUNDRED;Hdrd
HUNDRED THOUSANDS;HdrdThds
LENGTH;Len
LOGOTYPE;Logo
METOBELUS;Metobel
MICRO;Micro
MILLIONS;Mlns
MONITOR IN PORTRAIT ORIENTATION;MonPrt
NUMBER SIGN;Hash
NUMERATOR;Num
OBELUS;Obel
OCCLUSION;Occl
PARAGRAPH;Par
PARAGRAPHOS;Par
PARAGRAPHUS;Par
PERSONAL COMPUTER;PC
PILCROW;Pilcrow
PLUS-MINUS;PlusMinus
POETIC VERSE;PoetVrs
POINT;Point
PRIME;Prime
PUNCTUATION;Punct
QUESTION;Question
REGISTERED;Registered
SPACING DOT;Spdot
STAR;Star
STICK FIGURE;StkFig
TACK;Tack
TAKHALLUS;Takhal
THOUSAND;Thd
THOUSANDS;Thds
X-X;XX
## Arabic Symbols
ALAYHE;Alayh
ALAYHE ASSALLAM;AlayAss
ALLAHOU;Allah
ASSALLAM;Assal
BARREKH;Barre
DALATH;Dalat
DAMMATAN;Damt
DDAHAL;Ddaha
DHALATH;Dhala
DOACHASHMEE;Doach
FATHATAN;Fatht
GARSHUNI;Garsh
GHAMAL;Ghama
GHUNNA;Ghunn
HARKLEAN;Harkl
HBASA-ESASA;HbEs
KASRATAN;Kasrt
LAMADH;Lamad
MADDAH;Madda
MAKSURA;Maks
MARBUTA;Marb
PTHAHA;Pthah
QUSHSHAYA;Qush
RAHMATULLAH;Rahm
RUKKAKHA;Rukka
SAJDAH;Sajda
SALLALLAHOU;Sall
SALLALLAHOU ALAYHE WASSALLAM;SalAlWas
SEMKATH;Semk
SHADDA;Shadd
SINDHI;Sindh
TATWEEL;Tatwe
TCHEHEH;Tcheh
TTEHEH;Ttehe
WASSALLAM;Wassa
ZQAPHA;Zqaph
ZWARAKAY;Zwara
## Devanagari Symbols
CANDRABINDU;CandBind
PRISHTHAMATRA;Prish
SPACING CANDRABINDU;SpCandBind
## Greek Symbols
ACROPHONIC;Acro
CARYSTIAN;Cary
CYRENAIC;Cyre
DIALYTIKA;Dial
EPIDAUREAN;Epid
HERMIONIAN;Herm
LUNATE;Lun
MESSENIAN;Mess
METRETES;Metr
PERISPOMENI;Peris
PLETHRON;Pleth
PROSGEGRAMMENI;Prosg
STRATIAN;Strat
THESPIAN;Thesp
TROEZENIAN;Troez
TRYBLION;Trybl
YPOGEGRAMMENI;Ypog
## Transformations
CONTRACTION;Contr
FLATTENED;Flat
INVERSE;Inv
INVERTED;Inv
LITTLE;Ltl
MOVED;Mov
POSTPOSITION;Post
REVERSE;Rev
REVERSED;Rev
SKEWED;Skew
SQUAT;Squat
TRANSPOSITION;Trpos
TRUNCATED;Trunc
TURNED;Turn
## Weigth
HEAVY;Hvy
LIGHT;Lgt
MEDIUM;Med
STRONG;Strg
THIN;Thin
## Width
NARROW;Nar
WIDE;Wide
## Z NOTATION
BAG MEMBERSHIP;Bagm
DOMAIN ANTIRESTRICTION;Domar
LEFT BINDING BRACKET;Lbbr
LEFT IMAGE BRACKET;Libr
RANGE ANTIRESTRICTION;Rngnar
RELATIONAL COMPOSITION;Relcp
RIGHT BINDING BRACKET;Rbbr
RIGHT IMAGE BRACKET;Ribr
SCHEMA COMPOSITION;Schcp
SCHEMA PIPING;Schpp
SCHEMA PROJECTION;Schpr
SPOT;Spot
TYPE COLON;Type
